d,n1,n2,p_l
13,10,12,2.988e-06
13,10,13,4.051e-06
13,10,14,5.607e-06
13,10,15,7.408e-06
3,11,0,0.000561815
3,11,1,0.000699928
3,11,2,0.000838166
3,11,3,0.000996579
3,11,4,0.001167269
3,11,5,0.001350811
3,11,6,0.00153757
3,11,7,0.001789389
3,11,8,0.002014961
3,11,9,0.002251909
3,11,10,0.002500402
3,11,11,0.002759152
3,11,12,0.003039503
3,11,13,0.003407429
3,11,14,0.003704199
3,11,15,0.004025181
5,11,0,7.5289e-05
5,11,1,0.000104749
5,11,2,0.000141517
5,11,3,0.000185709
5,11,4,0.000237911
5,11,5,0.000297286
5,11,6,0.000364414
5,11,7,0.000440378
5,11,8,0.000524106
5,11,9,0.00062437
5,11,10,0.000725868
5,11,11,0.00084421
5,11,12,0.000968254
5,11,13,0.001098038
5,11,14,0.001236663
5,11,15,0.001387598
7,11,0,7.51e-06
7,11,1,1.2062e-05
7,11,2,1.8626e-05
7,11,3,2.706e-05
7,11,4,3.763e-05
7,11,5,5.1154e-05
