rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime
"(np.float64(0.5), np.float64(1.7), np.float64(0.9))",0.5,1.7,0.9,2.4,1.8,4.319999999999999
"(np.float64(0.5), np.float64(1.7), np.float64(1.0))",0.5,1.7,1.0,2.4,1.83,4.39
"(np.float64(0.5), np.float64(1.7), np.float64(1.1))",0.5,1.7,1.1,2.4,1.87,4.49
"(np.float64(0.5), np.float64(1.7), np.float64(1.2))",0.5,1.7,1.2,2.4,1.9,4.56
"(np.float64(0.5), np.float64(1.7), np.float64(1.3))",0.5,1.7,1.3,2.4,1.94,4.660000000000001
"(np.float64(0.5), np.float64(1.7), np.float64(1.4))",0.5,1.7,1.4,2.4,1.98,4.75
"(np.float64(0.5), np.float64(1.7), np.float64(1.5))",0.5,1.7,1.5,2.4,2.01,4.82
"(np.float64(0.5), np.float64(1.7), np.float64(1.6))",0.5,1.7,1.6,2.4,2.01,4.82
"(np.float64(0.5), np.float64(1.7), np.float64(1.7))",0.5,1.7,1.7,2.4,2.05,4.92
"(np.float64(0.5), np.float64(1.7), np.float64(1.8))",0.5,1.7,1.8,2.4,2.08,4.99
"(np.float64(0.5), np.float64(1.7), np.float64(1.9))",0.5,1.7,1.9,2.4,2.12,5.09
"(np.float64(0.5), np.float64(1.7), np.float64(2.0))",0.5,1.7,2.0,2.4,2.15,5.16
"(np.float64(0.5), np.float64(1.8), np.float64(0.5))",0.5,1.8,0.5,2.4,1.68,4.03
"(np.float64(0.5), np.float64(1.8), np.float64(0.6))",0.5,1.8,0.6,2.4,1.71,4.1
"(np.float64(0.5), np.float64(1.8), np.float64(0.7))",0.5,1.8,0.7,2.4,1.75,4.2
"(np.float64(0.5), np.float64(1.8), np.float64(0.8))",0.5,1.8,0.8,2.4,1.79,4.3
"(np.float64(0.5), np.float64(1.8), np.float64(0.9))",0.5,1.8,0.9,2.4,1.82,4.37
"(np.float64(0.5), np.float64(1.8), np.float64(1.0))",0.5,1.8,1.0,2.4,1.86,4.46
"(np.float64(0.5), np.float64(1.8), np.float64(1.1))",0.5,1.8,1.1,2.4,1.89,4.54
"(np.float64(0.5), np.float64(1.8), np.float64(1.2))",0.5,1.8,1.2,2.4,1.93,4.63
"(np.float64(0.5), np.float64(1.8), np.float64(1.3))",0.5,1.8,1.3,2.4,1.96,4.7
"(np.float64(0.5), np.float64(1.8), np.float64(1.4))",0.5,1.8,1.4,2.4,2.0,4.8
"(np.float64(0.5), np.float64(1.8), np.float64(1.5))",0.5,1.8,1.5,2.4,2.04,4.9
"(np.float64(0.5), np.float64(1.8), np.float64(1.6))",0.5,1.8,1.6,2.4,2.04,4.9
"(np.float64(0.5), np.float64(1.8), np.float64(1.7))",0.5,1.8,1.7,2.4,2.07,4.97
"(np.float64(0.5), np.float64(1.8), np.float64(1.8))",0.5,1.8,1.8,2.4,2.11,5.06
"(np.float64(0.5), np.float64(1.8), np.float64(1.9))",0.5,1.8,1.9,2.4,2.14,5.14
"(np.float64(0.5), np.float64(1.8), np.float64(2.0))",0.5,1.8,2.0,2.4,2.18,5.23
"(np.float64(0.5), np.float64(1.9), np.float64(0.5))",0.5,1.9,0.5,2.4,1.7,4.08
"(np.float64(0.5), np.float64(1.9), np.float64(0.6))",0.5,1.9,0.6,2.4,1.73,4.15
"(np.float64(0.5), np.float64(1.9), np.float64(0.7))",0.5,1.9,0.7,2.4,1.77,4.249999999999999
"(np.float64(0.5), np.float64(1.9), np.float64(0.8))",0.5,1.9,0.8,2.4,1.81,4.34
"(np.float64(0.5), np.float64(1.9), np.float64(0.9))",0.5,1.9,0.9,2.4,1.84,4.42
"(np.float64(0.5), np.float64(1.9), np.float64(1.0))",0.5,1.9,1.0,2.4,1.88,4.510000000000001
"(np.float64(0.5), np.float64(1.9), np.float64(1.1))",0.5,1.9,1.1,2.4,1.91,4.58
"(np.float64(0.5), np.float64(1.9), np.float64(1.2))",0.5,1.9,1.2,2.4,1.95,4.68
"(np.float64(0.5), np.float64(1.9), np.float64(1.3))",0.5,1.9,1.3,2.4,1.98,4.75
"(np.float64(0.5), np.float64(1.9), np.float64(1.4))",0.5,1.9,1.4,2.4,2.02,4.85
"(np.float64(0.5), np.float64(1.9), np.float64(1.5))",0.5,1.9,1.5,2.4,2.06,4.94
"(np.float64(0.5), np.float64(1.9), np.float64(1.6))",0.5,1.9,1.6,2.4,2.06,4.94
"(np.float64(0.5), np.float64(1.9), np.float64(1.7))",0.5,1.9,1.7,2.4,2.09,5.02
"(np.float64(0.5), np.float64(1.9), np.float64(1.8))",0.5,1.9,1.8,2.4,2.13,5.11
"(np.float64(0.5), np.float64(1.9), np.float64(1.9))",0.5,1.9,1.9,2.4,2.16,5.18
"(np.float64(0.5), np.float64(1.9), np.float64(2.0))",0.5,1.9,2.0,2.4,2.2,5.28
"(np.float64(0.5), np.float64(2.0), np.float64(0.5))",0.5,2.0,0.5,2.4,1.72,4.13
"(np.float64(0.5), np.float64(2.0), np.float64(0.6))",0.5,2.0,0.6,2.4,1.76,4.22
"(np.float64(0.5), np.float64(2.0), np.float64(0.7))",0.5,2.0,0.7,2.4,1.79,4.3
"(np.float64(0.5), np.float64(2.0), np.float64(0.8))",0.5,2.0,0.8,2.4,1.83,4.39
"(np.float64(0.5), np.float64(2.0), np.float64(0.9))",0.5,2.0,0.9,2.4,1.87,4.49
"(np.float64(0.5), np.float64(2.0), np.float64(1.0))",0.5,2.0,1.0,2.4,1.9,4.56
"(np.float64(0.5), np.float64(2.0), np.float64(1.1))",0.5,2.0,1.1,2.4,1.94,4.660000000000001
"(np.float64(0.5), np.float64(2.0), np.float64(1.2))",0.5,2.0,1.2,2.4,1.97,4.73
"(np.float64(0.5), np.float64(2.0), np.float64(1.3))",0.5,2.0,1.3,2.4,2.01,4.82
"(np.float64(0.5), np.float64(2.0), np.float64(1.4))",0.5,2.0,1.4,2.4,2.04,4.9
"(np.float64(0.5), np.float64(2.0), np.float64(1.5))",0.5,2.0,1.5,2.4,2.08,4.99
