rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime,num_benchmarks,num_rows
"(0.5, 1.7, 1.0)",0.5,1.7,1.0,1.7979820256853176,1.7316956279169171,3.1127863695935725,4,4
"(0.5, 1.7, 1.1)",0.5,1.7,1.1,1.7979820256853176,1.7586101780804304,3.1598116011225703,4,4
"(0.5, 1.7, 1.2)",0.5,1.7,1.2,1.7979820256853176,1.7831385228090877,3.206743930389827,4,4
"(0.5, 1.7, 1.3)",0.5,1.7,1.3,1.7979820256853176,1.801996218983373,3.2385371529683664,4,4
"(0.5, 1.7, 1.4)",0.5,1.7,1.4,1.7979820256853176,1.825543992450832,3.283512575457054,4,4
"(0.5, 1.7, 1.5)",0.5,1.7,1.5,1.7979820256853176,1.8500051546583371,3.326885930578397,4,4
"(0.5, 1.7, 1.6)",0.5,1.7,1.6,1.7979820256853176,1.8675145078314923,3.3555773141813545,4,4
"(0.5, 1.7, 1.7)",0.5,1.7,1.7,1.7979820256853176,1.889499111342505,3.3965847211326974,4,4
"(0.5, 1.7, 1.8)",0.5,1.7,1.8,1.7979820256853176,1.9073675332079127,3.4265354849529666,4,4
"(0.5, 1.7, 1.9)",0.5,1.7,1.9,1.7979820256853176,1.9340496975376817,3.479308079670949,4,4
"(0.5, 1.7, 2.0)",0.5,1.7,2.0,1.7979820256853176,1.955129432705378,3.514469611161138,4,4
"(0.5, 1.8, 0.5)",0.5,1.8,0.5,2.1901924405151587,1.6370649929012948,3.5843169558108503,4,4
"(0.5, 1.8, 0.6)",0.5,1.8,0.6,2.0022534959552285,1.6585867473628746,3.324200955958502,4,4
"(0.5, 1.8, 0.7)",0.5,1.8,0.7,1.851934138835037,1.6856493504385215,3.1218582154579746,4,4
"(0.5, 1.8, 0.8)",0.5,1.8,0.8,1.7979820256853176,1.7047345731323793,3.066511737060255,4,4
"(0.5, 1.8, 0.9)",0.5,1.8,0.9,1.7979820256853176,1.7293250602411934,3.1075267849903248,4,4
"(0.5, 1.8, 1.0)",0.5,1.8,1.0,1.7979820256853176,1.7530407117986537,3.1511044681141063,4,4
"(0.5, 1.8, 1.1)",0.5,1.8,1.1,1.7979820256853176,1.777576110202416,3.1962984549160374,4,4
"(0.5, 1.8, 1.2)",0.5,1.8,1.2,1.7979820256853176,1.802897676450205,3.2403497865437862,4,4
"(0.5, 1.8, 1.3)",0.5,1.8,1.3,1.7979820256853176,1.8209164672954843,3.274946072590305,4,4
"(0.5, 1.8, 1.4)",0.5,1.8,1.4,1.7979820256853176,1.8444382290060857,3.318167144138535,4,4
"(0.5, 1.8, 1.5)",0.5,1.8,1.5,1.7979820256853176,1.8711814273254639,3.363935839683025,4,4
"(0.5, 1.8, 1.6)",0.5,1.8,1.6,1.7979820256853176,1.888696155163229,3.395117766020551,4,4
"(0.5, 1.8, 1.7)",0.5,1.8,1.7,1.7979820256853176,1.9083470237037274,3.43113275211598,4,4
"(0.5, 1.8, 1.8)",0.5,1.8,1.8,1.7979820256853176,1.9284712042969285,3.4705652178644724,4,4
"(0.5, 1.8, 1.9)",0.5,1.8,1.9,1.7979820256853176,1.9528520503517675,3.5110984134102425,4,4
"(0.5, 1.8, 2.0)",0.5,1.8,2.0,1.7979820256853176,1.9794875504862917,3.5593057207508507,4,4
"(0.5, 1.9, 0.5)",0.5,1.9,0.5,2.1901924405151587,1.6577109256727804,3.631438273291424,4,4
"(0.5, 1.9, 0.6)",0.5,1.9,0.6,2.0022534959552285,1.6791895660084737,3.3635331668272634,4,4
"(0.5, 1.9, 0.7)",0.5,1.9,0.7,1.851934138835037,1.7062272982033717,3.158013274046043,4,4
"(0.5, 1.9, 0.8)",0.5,1.9,0.8,1.7979820256853176,1.725274730333174,3.102759637339676,4,4
"(0.5, 1.9, 0.9)",0.5,1.9,0.9,1.7979820256853176,1.7498407054818603,3.1463138724071715,4,4
"(0.5, 1.9, 1.0)",0.5,1.9,1.0,1.7979820256853176,1.7735209954989273,3.1895394676683284,4,4
"(0.5, 1.9, 1.1)",0.5,1.9,1.1,1.7979820256853176,1.7980339175999966,3.230373809448206,4,4
"(0.5, 1.9, 1.2)",0.5,1.9,1.2,1.7979820256853176,1.8233495923123642,3.2813813844953468,4,4
"(0.5, 1.9, 1.3)",0.5,1.9,1.3,1.7979820256853176,1.8413208788962034,3.3115539352394965,4,4
"(0.5, 1.9, 1.4)",0.5,1.9,1.4,1.7979820256853176,1.8648121022685218,3.3520501140611896,4,4
"(0.5, 1.9, 1.5)",0.5,1.9,1.5,1.7979820256853176,1.8915386005668824,3.402201613956026,4,4
"(0.5, 1.9, 1.6)",0.5,1.9,1.6,1.7979820256853176,1.9090279424866643,3.4335185024190342,4,4
"(0.5, 1.9, 1.7)",0.5,1.9,1.7,1.7979820256853176,1.9286608190405852,3.4693534703700273,4,4
"(0.5, 1.9, 1.8)",0.5,1.9,1.8,1.7979820256853176,1.9487459155953195,3.5042602153569637,4,4
"(0.5, 1.9, 1.9)",0.5,1.9,1.9,1.7979820256853176,1.9731104638994323,3.544743803628886,4,4
"(0.5, 1.9, 2.0)",0.5,1.9,2.0,1.7979820256853176,1.99973255886121,3.5974399901926395,4,4
